roi,epoch,experiment,rho,p_value
LO1,33,random_target_e10_l10,0.06890179459631275,0.0
V3,33,random_target_e10_l10,0.0029821128994097514,0.0350641262647357
FFC,33,random_target_e10_l10,0.12695297154393156,0.0
LO3,33,random_target_e10_l10,0.09936141955159852,0.0
V1,34,random_target_e10_l10,0.007995046796132858,1.598882179345992e-08
PIT,34,random_target_e10_l10,0.08884454280287694,0.0
V2,34,random_target_e10_l10,0.004644335987772873,0.0010292437320271071
LO2,34,random_target_e10_l10,0.13901121367069078,0.0
LO1,34,random_target_e10_l10,0.06920133456657251,0.0
V3,34,random_target_e10_l10,0.002359514881067213,0.09539660889607202
FFC,34,random_target_e10_l10,0.1282276460640265,0.0
LO3,34,random_target_e10_l10,0.10005205763104767,0.0
V1,35,random_target_e10_l10,0.008061937493927774,1.2130783390029357e-08
PIT,35,random_target_e10_l10,0.09287131648455092,0.0
V2,35,random_target_e10_l10,0.004349691750120423,0.0021109254354759574
LO2,35,random_target_e10_l10,0.1451217092267324,0.0
LO1,35,random_target_e10_l10,0.0701190308221251,0.0
V3,35,random_target_e10_l10,0.001235317558642481,0.3826288973271109
FFC,35,random_target_e10_l10,0.1332728621535925,0.0
LO3,35,random_target_e10_l10,0.10299653579253684,0.0
V1,36,random_target_e10_l10,0.008240933554541655,5.732158592561898e-09
PIT,36,random_target_e10_l10,0.08595056282692203,0.0
V2,36,random_target_e10_l10,0.004754718635333667,0.0007782324694185125
LO2,36,random_target_e10_l10,0.1355989915800562,0.0
LO1,36,random_target_e10_l10,0.06901216660434438,0.0
V3,36,random_target_e10_l10,0.003130674009680564,0.026924298729319306
FFC,36,random_target_e10_l10,0.12480672429839684,0.0
LO3,36,random_target_e10_l10,0.09932685641507674,0.0
V1,37,random_target_e10_l10,0.006407077419736171,5.947215967772371e-06
PIT,37,random_target_e10_l10,0.0909003278721652,0.0
V2,37,random_target_e10_l10,0.0035636087502601372,0.01178246412565843
LO2,37,random_target_e10_l10,0.14155882350416465,0.0
LO1,37,random_target_e10_l10,0.0699996474835423,0.0
V3,37,random_target_e10_l10,0.0013864116441403198,0.327160759021618
FFC,37,random_target_e10_l10,0.13024806679361714,0.0
LO3,37,random_target_e10_l10,0.10149870781467572,0.0
V1,38,random_target_e10_l10,0.007403235583415416,1.6739690859269538e-07
PIT,38,random_target_e10_l10,0.09138937591261348,0.0
