training_run,epoch,roi,rho,p_value
84,84,va-2,0.0773407800616792,0.0
84,84,va-3,0.06844415925726402,2.7445599880604555e-266
84,84,LOC,0.08977875523954601,0.0
85,85,va-1,0.06511185589787304,3.860492015343478e-241
85,85,va-2,0.06746600995813197,8.941805609390564e-259
85,85,va-3,0.06670084516786064,5.656462510649972e-253
85,85,LOC,0.12385381300710317,0.0
86,86,va-1,0.06906358953782551,4.211173091713904e-271
86,86,va-2,0.06250026024928794,2.587153922234462e-222
86,86,va-3,0.06537199374706555,4.665686206457323e-243
86,86,LOC,0.1435533818920073,0.0
87,87,va-1,0.05679486870537401,7.021257642175491e-184
87,87,va-2,0.0750816059977224,0.0
87,87,va-3,0.06139458846788125,1.4115913148294933e-214
87,87,LOC,0.16603406735618542,0.0
88,88,va-1,0.07297830474628804,1.5431534603247415e-302
88,88,va-2,0.07971846922844134,0.0
88,88,va-3,0.06532207765932524,1.0901644973204603e-242
88,88,LOC,0.11720614841722725,0.0
89,89,va-1,0.0607172350053975,6.620166099252702e-210
89,89,va-2,0.07151649996772243,1.3535845968341952e-290
89,89,va-3,0.06100691163588746,6.754287314664838e-212
89,89,LOC,0.12348170019594906,0.0
90,90,va-1,0.07273646916750669,1.5172635986258747e-300
90,90,va-2,0.06864747886534174,7.296906066593817e-268
90,90,va-3,0.07178315400186312,9.355755340769257e-293
90,90,LOC,0.11299626422081202,0.0
91,91,va-1,0.0666071441211608,2.873171668574683e-252
91,91,va-2,0.06568908096199447,2.0938645206667748e-245
91,91,va-3,0.06779662905263117,2.6558424311011994e-261
91,91,LOC,0.12214333034919943,0.0
92,92,va-1,0.07928725159246734,0.0
92,92,va-2,0.0802826461572489,0.0
92,92,va-3,0.060813494998551196,1.4461635657103513e-210
92,92,LOC,0.09316402316018063,0.0
93,93,va-1,0.06625026704792189,1.3722671405960284e-249
93,93,va-2,0.07870281454464925,0.0
93,93,va-3,0.06601401716104156,7.998223333346852e-248
93,93,LOC,0.09725189514536932,0.0
94,94,va-1,0.06909432707611458,2.4231459141385326e-271
94,94,va-2,0.0780012848920705,0.0
94,94,va-3,0.06065562526281809,1.7504777878441675e-209
94,94,LOC,0.09181242872971912,0.0
95,95,va-1,0.07319170205037306,2.657882387214057e-304
95,95,va-2,0.07649628269245316,0.0
95,95,va-3,0.07028969246400674,9.25733901290364e-281
95,95,LOC,0.10934486689049178,0.0
96,96,va-1,0.05988415880237249,3.122387283226673e-204
96,96,va-2,0.07016382403279506,9.243454885327164e-280
96,96,va-3,0.0529068766015575,8.365766219683758e-160
96,96,LOC,0.1083435826276541,0.0
97,97,va-1,0.07397252339728176,0.0
97,97,va-2,0.08059571537725857,0.0
97,97,va-3,0.0652885378778915,1.9274714690731378e-242
97,97,LOC,0.10778736073767267,0.0
98,98,va-1,0.07898483681533071,0.0
98,98,va-2,0.07731039088482618,0.0
98,98,va-3,0.06969702381678058,4.53194482999113e-276
98,98,LOC,0.09644902476809934,0.0
